10001011000001010000000111110000	ADD X16,X15,X5
10010001000000000000010100101001	ADDI X9,X9,#1
11111000000011110000000101001001	STUR X9,[X10,#240]
11111000010011110000000101001001	LDUR X9,[X10,#240]
11101010000011110000000101001001	EOR X9,X10,X15
11010010000000000000010100101001	EORI X9,X9,#1
11010011011011110000000101001001	LSL X9,X10,#0
11010011010011110000000101001001	LSR X9,X10,#0
10101010000011110000000101001001	ORR X9,X10,X15
10110010000000000000010100101001	ORRI X9,X9,#1
10110100010101010101010101001010	CBZ X10,#174762
10110101010101010010101011110010	CBNZ X18,#174423
